Alignment,UMBC,y
0.222222222222,0.37597534,1.8
0.5,0.61295444,2.4
0.845070422535,0.9166667,4.4
0.0,0.0512478,0.8
0.774193548387,0.66078943,3.2
0.571428571429,0.7138296,4.2
0.6,0.77417725,3.0
1.0,1.0,4.6
0.5,0.75825274,2.83
0.666666666667,0.8153558,3.6
1.0,0.9029132,5.0
0.444444444444,0.31821543,2.8
0.571428571429,0.7464583,2.8
0.4,0.6222916,1.6
0.5,0.4662025,3.0
0.166666666667,0.059081905,1.0
0.0,0.15440008,0.6
0.5,0.56792986,1.4
0.666666666667,0.8927374,3.6
0.909090909091,0.9216859,5.0
0.0,0.088748455,1.0
0.933333333333,0.9166667,5.0
0.4,0.54262894,1.6
0.689655172414,0.76220083,4.6
0.461538461538,0.6411648,2.4
0.0,0.43859583,1.6
0.0,0.11578224,0.8
0.571428571429,0.7066022,2.2
0.666666666667,0.69313884,4.0
0.666666666667,0.6980443,2.6
0.666666666667,0.66245544,3.4
0.75,0.9112659,3.2
0.5,0.90940917,2.8
0.222222222222,0.36834282,1.6
0.222222222222,0.588572,2.4
0.8,0.7790834,4.2
0.428571428571,0.59438896,4.2
0.769230769231,1.0,5.0
0.2,0.37757033,1.4
0.6,0.5951583,1.4
0.8,1.0,4.6
0.153846153846,0.11482893,1.0
0.615384615385,0.5540127,2.4
1.0,1.0,5.0
0.571428571429,0.5,3.4
0.6,0.7106149,1.6
0.727272727273,0.71126586,5.0
0.888888888889,1.0,5.0
0.285714285714,0.27076048,1.8
0.4,0.5134289,1.4
0.0,0.0,0.8
0.75,0.9306335,3.6
0.769230769231,0.92281616,4.8
0.285714285714,0.54612917,1.0
0.888888888889,1.0,4.4
0.75,0.756373,4.6
0.631578947368,0.8114496,4.0
0.740740740741,0.811835,4.8
0.333333333333,0.61342984,3.2
0.5,0.75,2.2
0.923076923077,0.9,4.6
0.909090909091,0.9166667,5.0
0.571428571429,0.7057165,1.8
0.0,0.48269945,1.8
0.888888888889,0.6321492,4.2
0.2,0.4985004,1.6
0.0,0.101947084,0.8
0.8,1.0,4.4
0.4,0.678318,1.8
0.5,0.50974077,4.2
0.8,0.9166667,5.0
0.6,0.77417725,1.6
0.666666666667,0.6817318,3.6
0.4,0.6305001,1.6
0.727272727273,0.8290127,3.6
0.5,0.75,3.6
0.6,0.76632744,3.0
0.25,0.35151678,0.8
0.666666666667,0.84303075,4.8
0.0,0.20060839,1.4
0.75,0.84581834,3.6
0.689655172414,0.7613068,3.4
0.6,0.64782685,2.0
0.0,0.11143087,1.0
0.333333333333,0.6333517,3.6
0.666666666667,0.8209872,2.4
0.769230769231,0.9569216,2.6
0.571428571429,0.675,4.8
0.666666666667,0.6648694,2.8
0.266666666667,0.18289676,1.17
0.333333333333,0.34728414,1.6
0.5,0.54889506,3.0
0.285714285714,0.44530067,1.0
0.25,0.5485566,1.4
0.6,0.70005083,4.2
0.571428571429,1.0,5.0
0.888888888889,1.0,5.0
0.769230769231,0.9328736,5.0
0.727272727273,0.80825967,1.8
0.705882352941,0.83326405,2.6
0.222222222222,0.45930102,1.4
0.6,0.7141899,3.6
0.0,0.32722956,1.6
0.695652173913,0.85628295,4.8
0.0,0.09589139,1.0
0.4,0.6666667,2.4
0.666666666667,0.37910572,2.2
0.5,0.7163386,2.6
0.0,0.11854383,0.6
1.0,1.0,4.6
0.833333333333,0.9216859,3.8
0.571428571429,0.19303074,1.4
0.444444444444,0.28961495,3.6
0.740740740741,0.70759535,1.2
0.625,0.82203734,3.2
0.75,1.0,5.0
0.8,0.9061904,4.2
0.2,0.39613184,1.0
0.909090909091,0.9284916,5.0
1.0,1.0,5.0
0.444444444444,0.53546685,3.8
0.333333333333,0.102503285,2.2
0.461538461538,0.7832431,3.2
0.4,0.3141899,1.0
0.727272727273,0.7385786,3.2
0.888888888889,0.9112659,3.4
0.285714285714,0.44896665,2.6
1.0,1.0,4.4
0.470588235294,0.748668,4.6
0.5,0.6419448,1.0
0.727272727273,0.9284916,4.6
0.4,0.50905776,1.0
0.153846153846,0.4673992,1.6
0.0,0.17446391,0.6
0.571428571429,0.49663085,1.4
0.545454545455,0.5713009,4.4
0.615384615385,0.625,3.2
0.769230769231,0.625,2.4
0.714285714286,0.81795925,3.6
0.5,0.772123,1.0
0.5,0.43592304,4.2
0.923076923077,0.9166667,4.8
0.909090909091,0.9284916,4.9
0.666666666667,0.67069817,4.0
0.588235294118,0.7873154,3.0
0.823529411765,0.9463687,4.6
0.8,0.94084394,4.8
0.857142857143,0.8653152,5.0
0.5,0.7066022,4.0
0.8,0.84438074,4.0
0.0,0.024106637,0.6
0.444444444444,0.7066022,1.4
0.727272727273,0.73935634,2.8
0.307692307692,0.60021883,2.4
0.727272727273,0.69778544,3.4
0.833333333333,0.8672785,5.0
0.5,0.5553622,1.0
0.333333333333,0.6666667,2.4
0.25,0.5311393,1.4
0.875,1.0,4.6
0.909090909091,0.9284916,5.0
0.8,0.8333333,3.2
1.0,0.8333333,5.0
0.774193548387,0.7790834,3.6
0.25,0.25358585,1.8
0.909090909091,0.9,5.0
0.615384615385,0.7719967,2.6
0.0,0.03291896,1.0
0.222222222222,0.36046067,1.4
0.888888888889,0.9061904,4.4
0.6,0.5934623,4.4
0.4,0.6276699,3.8
0.307692307692,0.48988616,2.0
0.5,0.75825274,2.6
0.428571428571,0.5250677,2.0
0.555555555556,0.70263857,3.0
0.933333333333,1.0,4.4
0.545454545455,0.5625,3.0
0.0,0.028940093,0.0
0.666666666667,0.65,5.0
0.888888888889,0.75,5.0
0.6,0.7859632,3.2
0.363636363636,0.56820947,2.0
0.816326530612,0.6927374,4.2
0.48,0.5318418,2.8
0.2,0.3203937,1.4
0.461538461538,0.62643343,2.0
0.8,1.0,5.0
0.545454545455,0.73143154,3.4
0.769230769231,0.6962569,2.6
0.6,0.93196476,3.6
0.8,0.7263772,3.6
0.6,0.7306843,3.2
1.0,1.0,5.0
0.727272727273,0.7548764,3.6
0.8,0.9290127,4.8
0.774193548387,0.75,4.0
0.4,0.43214267,1.4
0.909090909091,0.9284916,4.9
0.235294117647,0.41512117,3.4
0.461538461538,0.3719761,3.2
0.714285714286,0.65962774,1.6
0.571428571429,0.62384355,3.4
0.8,0.7141899,3.2
0.666666666667,0.6185292,3.6
0.727272727273,0.91748136,4.2
0.5,0.7,3.2
0.923076923077,0.8333333,4.4
0.4,0.5399355,1.6
0.428571428571,0.46776706,2.2
0.363636363636,0.24526142,1.4
0.833333333333,0.84863144,4.8
0.5,0.54098094,3.8
0.8,0.94084394,5.0
0.5,0.225,1.4
0.444444444444,0.5933461,1.0
0.0,0.10940047,1.0
0.0,0.074017756,0.4
0.6,0.66406006,1.33
0.666666666667,0.6816022,2.4
0.833333333333,0.85751057,4.4
0.545454545455,0.5549504,1.2
0.285714285714,0.3179755,1.2
0.588235294118,0.79666543,4.8
0.888888888889,0.88392055,4.8
0.533333333333,0.70579135,2.2
0.4,0.2841174,1.0
0.5,0.5934402,3.0
0.875,0.94327587,4.6
0.0,0.09875043,1.6
0.8,0.8095807,4.6
0.0,0.1446497,0.8
0.5,0.8333333,2.8
0.857142857143,0.9221685,4.4
0.5,0.7484762,1.6
0.923076923077,0.9328736,5.0
0.285714285714,0.4498856,1.6
0.333333333333,0.5654423,1.4
0.5,0.48478064,2.2
0.444444444444,0.41305804,2.2
0.555555555556,0.70790905,1.8
0.461538461538,0.8550043,3.8
0.714285714286,0.690538,1.6
0.5,0.56437826,1.0
0.909090909091,0.9284916,5.0
0.909090909091,0.93196476,5.0
0.6,0.65688896,4.0
0.833333333333,0.9815378,3.6
0.923076923077,0.9328736,4.8
0.727272727273,0.84137565,3.0
0.727272727273,0.80825967,1.2
0.235294117647,0.6030439,4.0
0.631578947368,0.5318418,2.83
0.888888888889,1.0,5.0
0.444444444444,0.7412252,1.2
0.4,0.52738607,2.2
0.909090909091,0.9061904,4.6
0.5,0.8400712,2.8
0.666666666667,0.4724718,4.8
0.833333333333,0.90618604,3.6
0.0,0.48044464,2.2
0.0,0.17181513,2.0
0.0,0.13441579,0.8
0.470588235294,0.7747907,2.0
0.727272727273,0.8077926,4.4
0.0,0.08507423,1.0
0.375,0.7443091,4.4
0.857142857143,0.94084394,4.0
0.625,0.75669193,1.8
0.941176470588,1.0,5.0
0.0,0.14915568,1.2
0.865979381443,0.9166667,5.0
0.82962962963,0.94854414,5.0
0.909090909091,0.9284916,3.8
0.5,0.5658324,2.6
1.0,1.0,5.0
0.8,0.9290127,4.6
0.0,0.020062232,0.4
0.6,0.83499485,1.8
1.0,1.0,4.8
0.461538461538,0.5984196,3.8
0.363636363636,0.3887523,1.4
0.857142857143,1.0,4.6
0.0,0.13483234,1.8
0.666666666667,0.7575288,1.6
0.25,0.45371515,2.6
0.875,0.94327587,4.8
