Alignment,Cosine similarity,UMBC,Ridge 3 combined,y
0.285714285714,0.306186217848,0.37964603,1.92730748469,1.3
0.714285714286,0.721687836487,0.76787937,3.79141111775,3.0
1.0,0.375,1.0,4.83208820206,5.0
0.0,0.0,0.12374684,0.688922018395,0.0
0.266666666667,0.251976315339,0.38487998,1.91234961056,1.2
0.4,0.36514837167,0.31851032,1.87012958747,1.2
1.14285714286,0.866025403784,0.85714287,4.61688292144,5.0
0.533333333333,0.125,0.5,2.58357664673,3.6
0.2,0.169030850946,0.23050475,1.30807922291,0.0
0.545454545455,0.617213399848,0.5741512,2.93290887033,1.2
0.571428571429,0.478091443734,0.576486,2.94580312278,3.2
0.727272727273,0.478091443734,0.5372076,2.99904834256,2.8
0.5,0.267261241912,0.34179637,2.04688477055,2.4
0.2,0.154303349962,0.225,1.28718067737,1.2
0.615384615385,0.516397779494,0.49343204,2.72966204047,2.2
0.714285714286,0.625,0.7443376,3.69589088112,3.6
0.833333333333,0.625,0.6,3.3582731632,3.6
0.857142857143,0.845154254729,0.8841846,4.36667489794,4.0
0.4,0.335410196625,0.35549483,1.98707725101,3.2
0.923076923077,0.824957911384,0.9285714,4.5873635873,4.0
0.5,0.316227766017,0.6875,3.19963195153,3.2
0.222222222222,0.182574185835,0.29182383,1.53955672494,1.4
0.461538461538,0.534522483825,0.62550175,2.98908602422,1.4
0.875,0.707106781187,0.7407876,3.88804458714,4.6
0.428571428571,0.462910049886,0.50169563,2.52764103495,2.0
1.0,0.400891862869,1.0,4.83680884439,5.0
0.714285714286,0.613940613515,0.487283,2.84336544877,2.8
0.166666666667,0.144337567297,0.1513573,1.00251883371,1.4
0.2,0.154303349962,0.27326614,1.44687744913,1.0
0.428571428571,0.251976315339,0.42513433,2.23586714417,1.0
1.0,1.0,0.5875,3.58121237994,5.0
0.625,0.421637021356,0.64985,3.24122415314,1.8
0.363636363636,0.534522483825,0.40976316,2.16018801676,0.2
0.428571428571,0.239045721867,0.21788928,1.54780395811,2.0
0.142857142857,0.144337567297,0.21209392,1.17548674034,1.6
0.533333333333,0.286038776774,0.30863884,1.9797863751,1.0
0.8,0.857142857143,0.6666667,3.58199054661,3.0
0.666666666667,0.527046276695,0.7494481,3.63896161919,2.4
0.363636363636,0.154303349962,0.4161755,2.11208223046,2.2
0.75,0.503952630679,0.51570964,2.95935104338,3.0
0.4,0.507092552837,0.46316564,2.37462590279,3.0
0.666666666667,0.57735026919,0.7859767,3.76899423171,2.4
0.833333333333,0.857142857143,0.85557854,4.24622306072,5.0
0.235294117647,0.480384461415,0.19699359,1.29545870462,0.0
0.681818181818,0.316227766017,0.6117828,3.16284726128,4.8
0.4,0.169030850946,0.4387875,2.23233075672,2.4
0.181818181818,0.154303349962,0.26107875,1.38517952635,1.0
0.5,0.144337567297,0.27906814,1.81692607854,0.4
0.333333333333,0.3,0.15608782,1.24247822392,2.6
0.923076923077,0.942809041582,0.9394458,4.6448301884,3.8
0.571428571429,0.7,0.63154876,3.16844636593,2.0
0.307692307692,0.316227766017,0.25347093,1.53750293026,0.6
0.666666666667,0.2,0.7549038,3.59738517912,4.8
0.666666666667,0.544331053952,0.5291939,2.913364348,4.4
0.833333333333,0.721687836487,0.68735844,3.66494175733,3.8
1.0,0.25,0.9157592,4.53057293752,5.0
0.307692307692,0.235702260396,0.3749304,1.92469081335,1.4
0.769230769231,0.288675134595,0.6533459,3.39810138809,4.4
0.615384615385,0.285714285714,0.38484246,2.32831630741,3.8
0.833333333333,0.571428571429,0.9252487,4.42464684341,5.0
0.25,0.0953462589246,0.17953,1.18476438565,3.0
0.533333333333,0.559016994375,0.4596532,2.52921297816,3.0
0.4,0.308606699924,0.33333334,1.90886532171,2.6
0.181818181818,0.158113883008,0.25433308,1.36355506643,0.4
0.0,0.0,0.1425916,0.751273126991,0.0
0.75,0.666666666667,0.73080385,3.70069325297,3.4
0.772727272727,0.797511658047,0.8465289,4.13416253149,4.6
0.461538461538,0.0,0.4166179,2.20050319157,0.6
0.2,0.182574185835,0.25,1.37505182946,1.2
0.333333333333,0.316227766017,0.4922397,2.35765282957,3.8
0.166666666667,0.0,0.020488122,0.543199959273,0.0
0.705882352941,0.5,0.7536511,3.69403732941,4.6
0.6,0.617213399848,0.41303965,2.46396535818,1.6
0.833333333333,0.801783725737,0.95204914,4.55531936757,4.6
0.181818181818,0.0,0.22872968,1.25001428796,0.0
0.428571428571,0.235702260396,0.13628659,1.27719792944,2.8
1.0,0.142857142857,1.0,4.78976357662,5.0
0.666666666667,0.666666666667,0.71962297,3.56573587398,3.2
0.615384615385,0.668153104781,0.47964856,2.7117252946,3.2
0.615384615385,0.444444444444,0.7852218,3.68197968424,2.4
0.461538461538,0.267261241912,0.50412005,2.53874646769,1.8
0.4,0.273861278753,0.20678005,1.48380730067,2.6
1.0,0.547722557505,1.0,4.86357923151,5.0
0.615384615385,0.492365963917,0.7973156,3.73073120966,4.2
0.666666666667,0.77151674981,0.9166667,4.23680514552,4.8
0.833333333333,0.68041381744,0.88713413,4.31840862521,4.6
1.0,0.471404520791,0.7586226,4.05102644163,5.0
0.222222222222,0.0,0.29582098,1.51949478599,0.8
0.625,0.5,0.69786006,3.41436089341,4.2
0.307692307692,0.308606699924,0.36578745,1.90773184506,1.2
0.25,0.204124145232,0.29166666,1.57562023026,1.2
0.8,0.784464540553,0.72565925,3.76392666171,4.4
0.769230769231,0.285714285714,0.46358913,2.76971886318,2.8
0.285714285714,0.0,0.29801416,1.60139017447,0.2
0.909090909091,0.845154254729,0.9166667,4.53521564888,3.4
0.461538461538,0.433012701892,0.45770904,2.41540775928,3.8
0.545454545455,0.617213399848,0.2572699,1.88445294156,0.6
0.6,0.316227766017,0.7458254,3.51016773625,4.4
0.666666666667,0.272165526976,0.7073766,3.4532906411,3.8
